Time,From,To,Amount
08/17/2013 03:37:00 AM,17HEwkvgkX7L8hwzKS2syzNZVk63qQoFi7,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.02369621
08/19/2013 09:15:00 AM,1AqPHKiuKugBRCbEuUENdoFUB74ZYCjRxb,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.13934239
08/20/2013 03:38:00 PM,19hhWNbpizgLFJKyakCyuREqzCsq4bNCmW,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.16588661
08/22/2013 03:12:00 AM,1KB3v5duV4epPtr8EmtiZwfT7eq6wPkdBL,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.10217981
08/23/2013 10:34:00 PM,1CQ9azpT7GJDkqB7xXKhUQZ5FN2oH8raZN,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.05677485
08/25/2013 07:07:00 PM,1F7GKER7o8TV7LkKmmdfcNHzg5bcfreVjA,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.04834717
08/26/2013 02:33:00 AM,1KfmDMBXRmUyKvrEiTJaVSLFW6gh9MjwAG,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.07161673
08/26/2013 05:16:00 PM,18pQuwsvxLMVhPQK2XBHe7eJRwrgceSvnn,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.32822245
08/28/2013 02:11:00 PM,142gCG9UhWrEKBxbhvawKQ3S7gD2637qxm,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.38823146
08/29/2013 07:14:00 AM,125qofPQPNUcdPjRQoFMVLLkrje2tFS9Wi,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.09386878
08/29/2013 08:33:00 PM,1BF6XvyJoJrDBPQP2syHtQ9YthccgZs84G,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.02403120
08/29/2013 10:46:00 PM,1MiRkSW7KkXdJLknVKUAEqCvH4kxCjthzp,Alydian: 1GzyCy3fofDCYdt7a4mQVnDNhXPTCisYsn,1.00000000
08/29/2013 10:46:00 PM,1MXxatc7KVp2CQC1jNdLj4ypZfYEikTNJH,Alydian: 14PxfrVustwUKb31WW8qevusfR7CGm7KQ5,1.00000000
08/30/2013 02:13:00 PM,1GcPDeHYkxqmaxJPgLMH1QSH4TstsWh2tv,Alydian: 1G3Csro9jsrGssJmdgpezj6cbKyu64sfua,1.19577934
08/30/2013 04:38:00 PM,Alydian: 14PxfrVustwUKb31WW8qevusfR7CGm7KQ5,1MXxatc7KVp2CQC1jNdLj4ypZfYEikTNJH,-0.99950000
08/30/2013 04:38:00 PM,Alydian,Miner Fee,-0.00050000
08/30/2013 04:47:00 PM,Alydian: 1GzyCy3fofDCYdt7a4mQVnDNhXPTCisYsn,1MXxatc7KVp2CQC1jNdLj4ypZfYEikTNJH,-0.99950000
08/30/2013 04:47:00 PM,Alydian,Miner Fee,-0.00050000
08/30/2013 08:38:00 PM,1QD7WPCwTEyrpWeYa8okxXrHG2vfKuC1jo 1BASDThF69BAg55TmMa5NsHM9wZDABALp6 1CTkbpdR4Wk8v6QvSgiUTJVPmk76pvCHFB 1ArHiHtrJFSbgVRE9A1MTsQyFxV9jirzGM 14LX6SXrSNFkkFNtwFevYteHfdXBhPtHJv 1GpbcgseqD9xyGMj6QqcnH5FLS7UmriUb8 18rfgnLnGGxRJL7M7fktCGSS8mGUTeH1jP,Alydian: 1GzyCy3fofDCYdt7a4mQVnDNhXPTCisYsn,10000.00000000
08/30/2013 08:38:00 PM,1BmoRAg4x2f8BwaBtSy9nCX19ChurB8Mjj 1KKvVi2rAu5KJoUmK2UPUZWZdKc6Lco5gq 1Dwewf5nDakJdCRD1ehNzhS7ha3bqGHZDv 1MwKhTe3ES4Wcz96n1beUty9uP9UJ3eyqC 1MXxatc7KVp2CQC1jNdLj4ypZfYEikTNJH 1MXxatc7KVp2CQC1jNdLj4ypZfYEikTNJH,Alydian: 14PxfrVustwUKb31WW8qevusfR7CGm7KQ5,2535.00000000
