Time,From,To,Amount
11/11/2011 05:40:41 PM,1Tihan1vV3sBLw4GrtdrAekLhSBhR2EzN,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,0.01000000
12/08/2011 06:06:40 PM,1CDysWzQ5Z4hMLhsj4AKAEFwrgXRC8DqRN,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,2.00000000
12/08/2011 06:59:55 PM,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,1STRonGxnFTeJiA7pgyneKknR29AwBM77,-0.00250000
12/08/2011 06:59:55 PM,Coinlab,Miner Fee,-0.00250000
12/12/2011 11:06:37 AM,1CDysWzQ5Z4hMLhsj4AKAEFwrgXRC8DqRN,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,8.00000000
12/12/2011 01:35:49 PM,1MCKossESxvzkT11txy7eDrtDJQLHySzHC,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,10.00000000
12/12/2011 03:08:17 PM,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,17gN64BPHtxi4mEM3qWrxdwhieUvRq8R2r,-10.00000000
12/12/2011 03:08:17 PM,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,1STRonGxnFTeJiA7pgyneKknR29AwBM77,-0.05000000
12/12/2011 03:08:17 PM,Coinlab,Miner Fee,-0.05000000
02/03/2012 11:52:10 AM,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,1A1zP1eP5QGefi2DMPTfTL5SLmv7DivfNa,-1.00000000
02/03/2012 11:52:10 AM,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,1STRonGxnFTeJiA7pgyneKknR29AwBM77,-0.00500000
02/03/2012 11:52:10 AM,Coinlab,Miner Fee,-0.00500000
03/22/2012 10:50:40 AM,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,1G85cQXETuGeMGvniv5SuMACegCR6L51A5,-1.00000000
03/22/2012 10:50:40 AM,Coinlab: 1CoinLabF5Avpp5kor41ngn7prTFMMHFVc,1STRonGxnFTeJiA7pgyneKknR29AwBM77,-0.00500000
03/22/2012 10:50:40 AM,Coinlab,Miner Fee,-0.00500000
04/26/2012 11:13:30 AM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.10000000
04/27/2012 11:12:25 AM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.30000000
04/28/2012 11:19:01 AM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.15000000
04/29/2012 11:16:15 AM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.20000000
04/30/2012 11:02:10 AM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.18000000
05/02/2012 01:03:13 PM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1.48000000
05/03/2012 01:12:24 PM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.49000000
05/05/2012 03:13:42 AM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.25000000
05/06/2012 03:40:01 AM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.41000000
05/07/2012 03:49:30 AM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.42000000
05/08/2012 03:08:40 AM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.60000000
05/08/2012 04:00:56 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,-0.20000000
05/08/2012 04:00:56 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,-0.20000000
05/08/2012 04:00:56 PM,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN 16jX7bZ9zoGzCF1EvcAqm5o98qFCQmXfwF 14R6dyRDCGvKu9L2dYNdFmkrQFdBXvXEsx 17uRgJyKPYTqrgqLuiE1s4TF2EdoYVVfEp 167QhXzLx8CotQMKagPE5AmG8JrAMjPViv,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.00081787
05/08/2012 04:00:56 PM,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN 17QwsLtCAeY5BXfEsuCZwSGaPpsJc66BNB 19EeBCUSfGVUrow9EhZeEasEbCV9QRrruP 1CWycng8MMKpXHo4YffEvPYdE4waYbbZCJ 1MM95jjtNZyPBUR2mSbY5tbeh353oSPAH8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.00081787
05/09/2012 08:18:09 PM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.26000000
05/10/2012 01:55:03 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,-0.20000000
05/10/2012 01:55:03 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,-0.20000000
05/10/2012 02:58:16 PM,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN 1Ma6BJ5r6RnVN9TQFbHkoWrmsBGu8ZXZUN 1PFbC2mZTRfeqRFkLRVeWjjHiugmte5Qhi 19ibbgh5RzfWgeeaTkrH2w5hoqqvUREREE 1GkaGaQSYYSSyLzseQuXXMn3TNXpe82ruH,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.00081787
05/10/2012 02:58:16 PM,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN 17RGrsgiiXVY1A2occzBmHCfwSVJLZy2Pv 1FbFTXBzQCjtq3To4mWEoSUjM5eZb2HpBg 1CHd761fRRH69tMKG4xiamBABEDUYyRCz7 19A5xjLbPoPeaLwoEvN1FKVCWb5SiVyhXQ,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.00081787
05/10/2012 08:02:15 PM,1VayNert3x1KzbpzMGt2qdqrAThiRovi8,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.32000000
05/14/2012 03:39:10 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,-0.50000000
05/14/2012 03:39:10 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN,-0.50000000
05/14/2012 03:48:20 PM,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN 1B4akDwYNbkMYknC8DpQ1dnJiHznmugqhc 1PBh4ZWfdWix1EDrN8Dvt2M2QrN2TuJRwS 1FdDWKUWHkJ2TpGFTBNUftUUHREQEkg9eX 16q6uzDWAfge3iQPJKtkPdTLFq43GW2rda,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.00250000
05/14/2012 03:48:20 PM,1dice6DPtUMBpWgv8i4pG8HMjXv9qDJWN 1B7M8WbMC4rks7XpYDvcnuZeHDESNyizz2 1147VjB5qx1pHdz5kJRVjLExtMXZLrj6kh 18tWHfZTZQuV8k1UAMWD85rEKJtBLvrbsn 1mBgZN5ArVRmW1NPjxxEUDsgeR7dbhJLT,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,0.00250000
05/20/2012 01:04:36 PM,Block Reward,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,50.15850000
06/04/2012 12:11:00 PM,Coinlab,Miner Fee,-0.00050000
06/12/2012 11:14:37 AM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1A7ujDn3pawcNUuEU6NBzGKW1QCuaKoby9,-0.10000000
08/13/2012 05:13:55 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1NVvHV5V96iJ4Zr2DxjmTzjnJtNxRExmfx,-1.90000000
08/13/2012 05:15:13 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,16AASBVvTTQYgGZuR81mA43tdKXEixcqs3,-1.59000000
08/17/2012 11:44:18 AM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1Bp26Vdoc57sbG2VYv9VcondmxcQpGVnZV,-4.11000000
08/20/2012 12:40:30 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1NVvHV5V96iJ4Zr2DxjmTzjnJtNxRExmfx,-5.13000000
08/20/2012 12:40:30 PM,Coinlab,Miner Fee,-0.00500000
08/20/2012 12:55:35 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,182XGi7MYm3EvnPojGLKHh3WLJkJznJkqL,-2.98000000
08/20/2012 12:55:35 PM,Coinlab,Miner Fee,-0.00500000
08/20/2012 12:55:35 PM,Coinlab: 1CtrsbmzVCcPH94Lo8DhWpPGJSiXuRyQyV,1Bp26Vdoc57sbG2VYv9VcondmxcQpGVnZV,-9.42000000
08/20/2012 12:55:35 PM,Coinlab,Miner Fee,-0.00500000
